algorithm,snr_db,trial,detected,n_candidates,threshold
tfmf_2block_k2,-11,17,0,9,12.832636833190918
tfmf_2block_k4,-11,17,0,11,12.898365020751953
tfmf_2block_k7,-11,17,0,10,12.898113250732422
sq_det,-11,18,0,0,3.4031667709350586
tfmf_1block,-11,18,0,14,12.746935844421387
tfmf_2block,-11,18,0,7,12.793116569519043
tfmf_2block_k2,-11,18,0,15,12.832636833190918
tfmf_2block_k4,-11,18,0,8,12.898365020751953
tfmf_2block_k7,-11,18,0,9,12.898113250732422
sq_det,-11,19,0,0,3.4031667709350586
tfmf_1block,-11,19,0,16,12.746935844421387
tfmf_2block,-11,19,0,4,12.793116569519043
tfmf_2block_k2,-11,19,0,9,12.832636833190918
tfmf_2block_k4,-11,19,0,6,12.898365020751953
tfmf_2block_k7,-11,19,0,6,12.898113250732422
sq_det,-11,20,0,0,3.4031667709350586
tfmf_1block,-11,20,0,13,12.746935844421387
tfmf_2block,-11,20,0,7,12.793116569519043
tfmf_2block_k2,-11,20,0,10,12.832636833190918
tfmf_2block_k4,-11,20,0,4,12.898365020751953
tfmf_2block_k7,-11,20,0,13,12.898113250732422
sq_det,-11,21,0,0,3.4031667709350586
tfmf_1block,-11,21,0,15,12.746935844421387
tfmf_2block,-11,21,0,13,12.793116569519043
tfmf_2block_k2,-11,21,0,6,12.832636833190918
tfmf_2block_k4,-11,21,0,4,12.898365020751953
tfmf_2block_k7,-11,21,0,12,12.898113250732422
sq_det,-11,22,0,0,3.4031667709350586
tfmf_1block,-11,22,0,11,12.746935844421387
tfmf_2block,-11,22,0,8,12.793116569519043
tfmf_2block_k2,-11,22,0,10,12.832636833190918
tfmf_2block_k4,-11,22,0,12,12.898365020751953
tfmf_2block_k7,-11,22,0,5,12.898113250732422
sq_det,-11,23,0,0,3.4031667709350586
tfmf_1block,-11,23,0,11,12.746935844421387
tfmf_2block,-11,23,0,7,12.793116569519043
tfmf_2block_k2,-11,23,0,9,12.832636833190918
tfmf_2block_k4,-11,23,0,9,12.898365020751953
tfmf_2block_k7,-11,23,0,9,12.898113250732422
sq_det,-11,24,0,0,3.4031667709350586
tfmf_1block,-11,24,0,14,12.746935844421387
tfmf_2block,-11,24,0,15,12.793116569519043
tfmf_2block_k2,-11,24,0,10,12.832636833190918
tfmf_2block_k4,-11,24,0,4,12.898365020751953
tfmf_2block_k7,-11,24,0,7,12.898113250732422
sq_det,-11,25,0,0,3.4031667709350586
tfmf_1block,-11,25,0,11,12.746935844421387
tfmf_2block,-11,25,0,14,12.793116569519043
tfmf_2block_k2,-11,25,0,7,12.832636833190918
tfmf_2block_k4,-11,25,0,7,12.898365020751953
tfmf_2block_k7,-11,25,0,9,12.898113250732422
sq_det,-11,26,0,0,3.4031667709350586
tfmf_1block,-11,26,0,12,12.746935844421387
tfmf_2block,-11,26,0,10,12.793116569519043
tfmf_2block_k2,-11,26,0,8,12.832636833190918
tfmf_2block_k4,-11,26,0,6,12.898365020751953
tfmf_2block_k7,-11,26,0,7,12.898113250732422
sq_det,-11,27,0,0,3.4031667709350586
tfmf_1block,-11,27,0,6,12.746935844421387
tfmf_2block,-11,27,0,7,12.793116569519043
tfmf_2block_k2,-11,27,0,13,12.832636833190918
tfmf_2block_k4,-11,27,0,11,12.898365020751953
tfmf_2block_k7,-11,27,0,1,12.898113250732422
sq_det,-11,28,0,0,3.4031667709350586
tfmf_1block,-11,28,0,7,12.746935844421387
tfmf_2block,-11,28,0,10,12.793116569519043
tfmf_2block_k2,-11,28,0,10,12.832636833190918
tfmf_2block_k4,-11,28,0,10,12.898365020751953
tfmf_2block_k7,-11,28,0,9,12.898113250732422
sq_det,-11,29,0,0,3.4031667709350586
tfmf_1block,-11,29,0,10,12.746935844421387
tfmf_2block,-11,29,0,12,12.793116569519043
tfmf_2block_k2,-11,29,0,8,12.832636833190918
tfmf_2block_k4,-11,29,0,9,12.898365020751953
tfmf_2block_k7,-11,29,0,4,12.898113250732422
sq_det,-11,30,0,0,3.4031667709350586
tfmf_1block,-11,30,0,12,12.746935844421387
tfmf_2block,-11,30,0,6,12.793116569519043
tfmf_2block_k2,-11,30,0,9,12.832636833190918
tfmf_2block_k4,-11,30,0,7,12.898365020751953
tfmf_2block_k7,-11,30,0,6,12.898113250732422
sq_det,-11,31,0,0,3.4031667709350586
tfmf_1block,-11,31,0,15,12.746935844421387
tfmf_2block,-11,31,0,10,12.793116569519043
tfmf_2block_k2,-11,31,0,8,12.832636833190918
tfmf_2block_k4,-11,31,0,10,12.898365020751953
tfmf_2block_k7,-11,31,0,3,12.898113250732422
sq_det,-11,32,0,0,3.4031667709350586
tfmf_1block,-11,32,0,13,12.746935844421387
tfmf_2block,-11,32,0,14,12.793116569519043
tfmf_2block_k2,-11,32,0,8,12.832636833190918
tfmf_2block_k4,-11,32,0,5,12.898365020751953
tfmf_2block_k7,-11,32,0,9,12.898113250732422
sq_det,-11,33,0,0,3.4031667709350586
tfmf_1block,-11,33,0,16,12.746935844421387
tfmf_2block,-11,33,0,11,12.793116569519043
tfmf_2block_k2,-11,33,0,6,12.832636833190918
tfmf_2block_k4,-11,33,0,8,12.898365020751953
tfmf_2block_k7,-11,33,0,7,12.898113250732422
sq_det,-11,34,0,0,3.4031667709350586
tfmf_1block,-11,34,0,10,12.746935844421387
tfmf_2block,-11,34,0,16,12.793116569519043
tfmf_2block_k2,-11,34,0,14,12.832636833190918
tfmf_2block_k4,-11,34,0,6,12.898365020751953
tfmf_2block_k7,-11,34,0,8,12.898113250732422
sq_det,-11,35,0,0,3.4031667709350586
tfmf_1block,-11,35,0,13,12.746935844421387
tfmf_2block,-11,35,0,14,12.793116569519043
tfmf_2block_k2,-11,35,0,5,12.832636833190918
tfmf_2block_k4,-11,35,0,13,12.898365020751953
tfmf_2block_k7,-11,35,0,4,12.898113250732422
sq_det,-11,36,0,0,3.4031667709350586
tfmf_1block,-11,36,0,15,12.746935844421387
tfmf_2block,-11,36,0,5,12.793116569519043
tfmf_2block_k2,-11,36,0,7,12.832636833190918
tfmf_2block_k4,-11,36,0,9,12.898365020751953
tfmf_2block_k7,-11,36,0,9,12.898113250732422
sq_det,-11,37,0,0,3.4031667709350586
tfmf_1block,-11,37,0,10,12.746935844421387
tfmf_2block,-11,37,0,6,12.793116569519043
tfmf_2block_k2,-11,37,0,5,12.832636833190918
tfmf_2block_k4,-11,37,0,2,12.898365020751953
tfmf_2block_k7,-11,37,0,8,12.898113250732422
sq_det,-11,38,0,0,3.4031667709350586
tfmf_1block,-11,38,0,10,12.746935844421387
