algorithm,snr_db,trial,detected,n_candidates,threshold
tfmf_2block,-9,17,0,12,12.793116569519043
sq_det,-9,18,1,10,2.304680824279785
tfmf_1block,-9,18,0,7,12.746935844421387
tfmf_2block,-9,18,0,10,12.793116569519043
sq_det,-9,19,0,6,2.304680824279785
tfmf_1block,-9,19,0,7,12.746935844421387
tfmf_2block,-9,19,0,13,12.793116569519043
sq_det,-9,20,0,8,2.304680824279785
tfmf_1block,-9,20,0,13,12.746935844421387
tfmf_2block,-9,20,0,12,12.793116569519043
sq_det,-9,21,0,10,2.304680824279785
tfmf_1block,-9,21,0,13,12.746935844421387
tfmf_2block,-9,21,0,10,12.793116569519043
sq_det,-9,22,0,12,2.304680824279785
tfmf_1block,-9,22,0,10,12.746935844421387
tfmf_2block,-9,22,0,11,12.793116569519043
sq_det,-9,23,0,15,2.304680824279785
tfmf_1block,-9,23,0,16,12.746935844421387
tfmf_2block,-9,23,0,13,12.793116569519043
sq_det,-9,24,1,7,2.304680824279785
tfmf_1block,-9,24,0,13,12.746935844421387
tfmf_2block,-9,24,0,10,12.793116569519043
sq_det,-9,25,0,7,2.304680824279785
tfmf_1block,-9,25,0,12,12.746935844421387
tfmf_2block,-9,25,0,8,12.793116569519043
sq_det,-9,26,0,10,2.304680824279785
tfmf_1block,-9,26,0,8,12.746935844421387
tfmf_2block,-9,26,0,7,12.793116569519043
sq_det,-9,27,0,12,2.304680824279785
tfmf_1block,-9,27,0,9,12.746935844421387
tfmf_2block,-9,27,0,6,12.793116569519043
sq_det,-9,28,1,11,2.304680824279785
tfmf_1block,-9,28,0,12,12.746935844421387
tfmf_2block,-9,28,0,7,12.793116569519043
sq_det,-9,29,1,17,2.304680824279785
tfmf_1block,-9,29,0,17,12.746935844421387
tfmf_2block,-9,29,0,13,12.793116569519043
sq_det,-9,30,0,13,2.304680824279785
tfmf_1block,-9,30,0,15,12.746935844421387
tfmf_2block,-9,30,0,11,12.793116569519043
sq_det,-9,31,1,11,2.304680824279785
tfmf_1block,-9,31,0,17,12.746935844421387
tfmf_2block,-9,31,0,16,12.793116569519043
sq_det,-9,32,1,16,2.304680824279785
tfmf_1block,-9,32,0,10,12.746935844421387
tfmf_2block,-9,32,0,15,12.793116569519043
sq_det,-9,33,1,12,2.304680824279785
tfmf_1block,-9,33,0,11,12.746935844421387
tfmf_2block,-9,33,0,11,12.793116569519043
sq_det,-9,34,0,15,2.304680824279785
tfmf_1block,-9,34,0,17,12.746935844421387
tfmf_2block,-9,34,0,11,12.793116569519043
sq_det,-9,35,1,22,2.304680824279785
tfmf_1block,-9,35,0,9,12.746935844421387
tfmf_2block,-9,35,0,16,12.793116569519043
sq_det,-9,36,0,8,2.304680824279785
tfmf_1block,-9,36,0,17,12.746935844421387
tfmf_2block,-9,36,0,8,12.793116569519043
sq_det,-9,37,0,20,2.304680824279785
tfmf_1block,-9,37,0,9,12.746935844421387
tfmf_2block,-9,37,0,7,12.793116569519043
sq_det,-9,38,1,8,2.304680824279785
tfmf_1block,-9,38,0,18,12.746935844421387
tfmf_2block,-9,38,0,4,12.793116569519043
sq_det,-9,39,0,9,2.304680824279785
tfmf_1block,-9,39,0,11,12.746935844421387
tfmf_2block,-9,39,0,11,12.793116569519043
sq_det,-9,40,0,12,2.304680824279785
tfmf_1block,-9,40,0,11,12.746935844421387
tfmf_2block,-9,40,0,19,12.793116569519043
sq_det,-9,41,1,19,2.304680824279785
tfmf_1block,-9,41,0,15,12.746935844421387
tfmf_2block,-9,41,0,8,12.793116569519043
sq_det,-9,42,1,17,2.304680824279785
