depth,snr_db,trial,truth_msg,decoded_msg,correct
1,-4,6,CQ K1JT FN20,,0
2,-4,6,CQ K1JT FN20,,0
1,-4,7,CQ K1JT FN20,,0
2,-4,7,CQ K1JT FN20,,0
1,-4,8,CQ K1JT FN20,,0
2,-4,8,CQ K1JT FN20,,0
1,-4,9,CQ K1JT FN20,,0
2,-4,9,CQ K1JT FN20,,0
1,-4,10,CQ K1JT FN20,,0
2,-4,10,CQ K1JT FN20,,0
1,-4,11,CQ K1JT FN20,,0
2,-4,11,CQ K1JT FN20,,0
1,-4,12,CQ K1JT FN20,,0
2,-4,12,CQ K1JT FN20,,0
1,-4,13,CQ K1JT FN20,,0
2,-4,13,CQ K1JT FN20,,0
1,-4,14,CQ K1JT FN20,,0
2,-4,14,CQ K1JT FN20,,0
1,-4,15,CQ K1JT FN20,,0
2,-4,15,CQ K1JT FN20,,0
1,-4,16,CQ K1JT FN20,,0
2,-4,16,CQ K1JT FN20,,0
1,-4,17,CQ K1JT FN20,,0
2,-4,17,CQ K1JT FN20,,0
1,-4,18,CQ K1JT FN20,,0
2,-4,18,CQ K1JT FN20,,0
1,-4,19,CQ K1JT FN20,,0
2,-4,19,CQ K1JT FN20,,0
1,-4,20,CQ K1JT FN20,,0
2,-4,20,CQ K1JT FN20,,0
1,-4,21,CQ K1JT FN20,,0
2,-4,21,CQ K1JT FN20,,0
1,-4,22,CQ K1JT FN20,,0
2,-4,22,CQ K1JT FN20,,0
1,-4,23,CQ K1JT FN20,,0
2,-4,23,CQ K1JT FN20,,0
1,-4,24,CQ K1JT FN20,,0
2,-4,24,CQ K1JT FN20,,0
1,-4,25,CQ K1JT FN20,,0
2,-4,25,CQ K1JT FN20,,0
1,-4,26,CQ K1JT FN20,,0
2,-4,26,CQ K1JT FN20,,0
1,-4,27,CQ K1JT FN20,,0
2,-4,27,CQ K1JT FN20,,0
1,-4,28,CQ K1JT FN20,,0
2,-4,28,CQ K1JT FN20,,0
1,-4,29,CQ K1JT FN20,,0
2,-4,29,CQ K1JT FN20,,0
1,-3,0,CQ K1JT FN20,,0
2,-3,0,CQ K1JT FN20,,0
1,-3,1,CQ K1JT FN20,,0
2,-3,1,CQ K1JT FN20,,0
1,-3,2,CQ K1JT FN20,,0
2,-3,2,CQ K1JT FN20,,0
1,-3,3,CQ K1JT FN20,,0
2,-3,3,CQ K1JT FN20,,0
1,-3,4,CQ K1JT FN20,,0
2,-3,4,CQ K1JT FN20,,0
1,-3,5,CQ K1JT FN20,,0
2,-3,5,CQ K1JT FN20,,0
1,-3,6,CQ K1JT FN20,,0
2,-3,6,CQ K1JT FN20,,0
1,-3,7,CQ K1JT FN20,,0
2,-3,7,CQ K1JT FN20,,0
1,-3,8,CQ K1JT FN20,,0
2,-3,8,CQ K1JT FN20,,0
1,-3,9,CQ K1JT FN20,,0
2,-3,9,CQ K1JT FN20,,0
1,-3,10,CQ K1JT FN20,,0
2,-3,10,CQ K1JT FN20,,0
1,-3,11,CQ K1JT FN20,,0
2,-3,11,CQ K1JT FN20,,0
1,-3,12,CQ K1JT FN20,,0
2,-3,12,CQ K1JT FN20,,0
1,-3,13,CQ K1JT FN20,,0
2,-3,13,CQ K1JT FN20,,0
1,-3,14,CQ K1JT FN20,,0
2,-3,14,CQ K1JT FN20,,0
1,-3,15,CQ K1JT FN20,,0
2,-3,15,CQ K1JT FN20,,0
1,-3,16,CQ K1JT FN20,,0
2,-3,16,CQ K1JT FN20,,0
1,-3,17,CQ K1JT FN20,,0
2,-3,17,CQ K1JT FN20,,0
1,-3,18,CQ K1JT FN20,,0
2,-3,18,CQ K1JT FN20,,0
1,-3,19,CQ K1JT FN20,,0
2,-3,19,CQ K1JT FN20,,0
1,-3,20,CQ K1JT FN20,,0
2,-3,20,CQ K1JT FN20,,0
1,-3,21,CQ K1JT FN20,,0
2,-3,21,CQ K1JT FN20,,0
1,-3,22,CQ K1JT FN20,,0
2,-3,22,CQ K1JT FN20,,0
1,-3,23,CQ K1JT FN20,,0
2,-3,23,CQ K1JT FN20,,0
1,-3,24,CQ K1JT FN20,,0
2,-3,24,CQ K1JT FN20,,0
1,-3,25,CQ K1JT FN20,,0
2,-3,25,CQ K1JT FN20,,0
1,-3,26,CQ K1JT FN20,,0
2,-3,26,CQ K1JT FN20,,0
1,-3,27,CQ K1JT FN20,,0
2,-3,27,CQ K1JT FN20,,0
1,-3,28,CQ K1JT FN20,,0
2,-3,28,CQ K1JT FN20,,0
1,-3,29,CQ K1JT FN20,,0
2,-3,29,CQ K1JT FN20,,0
1,-2,0,CQ K1JT FN20,,0
2,-2,0,CQ K1JT FN20,,0
1,-2,1,CQ K1JT FN20,,0
2,-2,1,CQ K1JT FN20,,0
1,-2,2,CQ K1JT FN20,,0
2,-2,2,CQ K1JT FN20,,0
1,-2,3,CQ K1JT FN20,,0
2,-2,3,CQ K1JT FN20,,0
1,-2,4,CQ K1JT FN20,,0
2,-2,4,CQ K1JT FN20,,0
1,-2,5,CQ K1JT FN20,,0
2,-2,5,CQ K1JT FN20,,0
1,-2,6,CQ K1JT FN20,,0
2,-2,6,CQ K1JT FN20,,0
1,-2,7,CQ K1JT FN20,,0
2,-2,7,CQ K1JT FN20,,0
1,-2,8,CQ K1JT FN20,,0
2,-2,8,CQ K1JT FN20,,0
1,-2,9,CQ K1JT FN20,,0
2,-2,9,CQ K1JT FN20,,0
1,-2,10,CQ K1JT FN20,,0
2,-2,10,CQ K1JT FN20,,0
1,-2,11,CQ K1JT FN20,,0
2,-2,11,CQ K1JT FN20,,0
1,-2,12,CQ K1JT FN20,,0
2,-2,12,CQ K1JT FN20,,0
1,-2,13,CQ K1JT FN20,,0
2,-2,13,CQ K1JT FN20,,0
1,-2,14,CQ K1JT FN20,,0
2,-2,14,CQ K1JT FN20,,0
1,-2,15,CQ K1JT FN20,,0
2,-2,15,CQ K1JT FN20,,0
1,-2,16,CQ K1JT FN20,,0
2,-2,16,CQ K1JT FN20,,0
1,-2,17,CQ K1JT FN20,,0
2,-2,17,CQ K1JT FN20,,0
1,-2,18,CQ K1JT FN20,,0
2,-2,18,CQ K1JT FN20,,0
1,-2,19,CQ K1JT FN20,,0
2,-2,19,CQ K1JT FN20,,0
1,-2,20,CQ K1JT FN20,,0
2,-2,20,CQ K1JT FN20,,0
1,-2,21,CQ K1JT FN20,,0
2,-2,21,CQ K1JT FN20,,0
1,-2,22,CQ K1JT FN20,,0
2,-2,22,CQ K1JT FN20,,0
1,-2,23,CQ K1JT FN20,,0
2,-2,23,CQ K1JT FN20,,0
1,-2,24,CQ K1JT FN20,,0
2,-2,24,CQ K1JT FN20,,0
1,-2,25,CQ K1JT FN20,,0
2,-2,25,CQ K1JT FN20,,0
1,-2,26,CQ K1JT FN20,,0
2,-2,26,CQ K1JT FN20,,0
1,-2,27,CQ K1JT FN20,,0
2,-2,27,CQ K1JT FN20,,0
1,-2,28,CQ K1JT FN20,,0
2,-2,28,CQ K1JT FN20,,0
1,-2,29,CQ K1JT FN20,,0
2,-2,29,CQ K1JT FN20,,0
1,-1,0,CQ K1JT FN20,,0
2,-1,0,CQ K1JT FN20,,0
1,-1,1,CQ K1JT FN20,,0
2,-1,1,CQ K1JT FN20,,0
1,-1,2,CQ K1JT FN20,,0
2,-1,2,CQ K1JT FN20,,0
1,-1,3,CQ K1JT FN20,,0
2,-1,3,CQ K1JT FN20,,0
1,-1,4,CQ K1JT FN20,,0
2,-1,4,CQ K1JT FN20,,0
1,-1,5,CQ K1JT FN20,,0
2,-1,5,CQ K1JT FN20,,0
1,-1,6,CQ K1JT FN20,,0
2,-1,6,CQ K1JT FN20,,0
